model_id,model,estimated_capability
88,Qwen2.5-Coder-7B-Instruct,"[0.09997942, 0.7308966, 0.29939026, -0.25635624, -0.09391931, 0.3713678, 0.43283546, -0.4608169, 0.2392141, -0.6295279, -2.3042874, 0.2502645, -0.35316947, -2.126093, 0.040381093, 0.12079561, 0.5686654, 0.0025654042, 0.013967176, -0.012864124]"
89,Qwen2.5-Omni-7B,"[0.48232928, 0.84266144, 0.16364275, -0.07732297, 0.24545348, -0.34064308, 0.39256668, -0.14755294, 0.8305381, 0.17556034, -1.639859, 0.8345884, -0.16463427, -1.4541385, 0.2930834, 0.8750533, 0.2841929, 0.16828562, -1.0319526, -0.05420083]"
90,Qwen2.5-Plus,"[-0.3883265, -0.17519961, 0.3927769, 0.030376185, 0.25788414, 0.0059203776, 0.042842355, 0.15539862, 0.7019952, 0.10112018, -0.39565206, 0.70064914, 0.07408277, 0.3531814, -0.15282016, -0.4410217, -0.15269405, 0.17668965, -0.2631896, -0.03720436]"
91,Qwen2.5-Plus-Instruct,"[0.4905071, 1.0591036, 0.4851549, -0.1432503, 0.14180678, -0.075405754, 0.3139618, 0.40646327, 0.5649467, -0.003257682, -1.1749698, 0.70060056, 0.1755135, 0.6493862, 0.19469643, 0.050013486, 0.25832576, -0.09511241, 0.37458912, -0.3101597]"
92,Qwen2.5-Turbo,"[-0.1575619, -0.28110206, 0.26679078, -0.04484031, -0.31850332, -0.08118464, -0.46998712, 0.035693232, 0.76570296, -0.13430455, -0.047846068, 0.61367476, -0.15868296, -0.6311364, -0.4860911, -0.3336236, 0.011896804, -0.2453538, -0.7188502, -0.39894456]"
93,Qwen2.5-Turbo-Instruct,"[-0.0236959, 0.9857572, 0.16298327, -0.38242692, -0.025432242, 0.4068518, 0.022757716, -0.35744923, 0.38918588, 0.18795055, -1.8065159, 0.7470438, 0.1404225, -0.20002034, 0.7172541, 0.02601809, 0.07721829, -0.08917232, 0.025460752, 0.31869307]"
94,Qwen2.5-VL-32B-Instruct,"[-0.32124773, 1.6048259, 0.2398871, -0.23959692, 0.73861724, 0.2865649, 0.55344725, 0.18307702, 0.67552155, 0.56141657, -1.313789, 0.13060561, 0.51718056, 0.28802556, -0.42464226, 0.22537912, 0.24987793, 0.045489497, -0.13712339, 0.43825433]"
95,Qwen2.5-VL-72B-Instruct,"[-0.14751191, 1.4006023, -0.5529386, 0.59706944, -0.35294238, 0.030304657, 0.10009619, 0.44213173, -0.014708418, 0.17784604, -1.1303158, 0.7462055, 0.032082915, 0.39547375, 0.8697464, -0.40820876, 0.22165328, 0.31373283, -0.07270141, 0.48148242]"
96,Qwen3-0.6B,"[0.39963257, -1.3023347, 0.106071666, -0.08272356, 0.07784667, 0.17633814, -0.17503607, 0.036625672, 0.6249717, 0.37780613, -2.5032232, -0.43291685, 0.119973965, -2.3279283, 0.2522023, -0.23038214, 0.25538906, 0.02942838, -0.09436343, 0.2577025]"
97,Qwen3-0.6B-Thinking,"[0.07270852, 0.6882161, 0.686616, -0.15822506, -0.20640986, 0.3049095, 0.6478574, -0.06258039, 0.49428618, 0.22515237, -1.167708, 0.7884698, 0.0053246724, -2.3891673, -0.044636283, -0.11864258, -0.06519387, -0.10692768, -0.39540148, -0.093696274]"
98,Qwen3-1.7B,"[0.33512685, -0.8342555, 0.4097977, 0.21809897, -0.001794741, 0.18803568, 0.24815866, 0.009625167, 0.3188896, -0.20852011, -1.4825867, 0.4144426, -0.017938871, -1.6579256, -0.037513174, 0.2480572, 0.01590525, 0.08434505, -0.14713567, -0.34593594]"
99,Qwen3-1.7B-Thinking,"[-0.19993351, 0.38667798, 0.27765545, -0.2158656, 0.39624366, 0.082250215, 0.41976973, -0.117804095, 0.17839526, 0.24100515, 0.45320192, 0.2269369, 0.2179081, -1.1526531, -0.3160966, 0.09435271, 0.20280156, 0.16708806, -0.22847408, -0.009567634]"
100,Qwen3-14B,"[0.4436994, -0.060826827, 0.21621233, 0.21121955, 0.20133547, -0.07518903, 0.3097334, 0.09615214, 0.4099589, -0.0695539, -0.6343882, 0.5184818, 0.4312209, 0.36678404, 0.035598297, 0.2221471, 0.022381267, 0.012146255, -0.46006805, -0.26754576]"
101,Qwen3-14B-Thinking,"[0.20241264, -0.050797854, 0.362908, 0.14297308, 0.23897903, -0.16578597, 0.2226259, 0.008249553, 0.33558908, 0.09193627, 1.910051, 0.5464942, 0.37955236, 0.99447554, 0.025525713, 0.1642869, -0.21579224, 0.03398054, -0.2570625, -0.12053818]"
102,Qwen3-235B-A22B,"[0.13786095, 0.100484766, 0.35805133, 0.24890016, 0.048112925, 0.22939093, 0.19558313, 0.12453035, -0.23112983, 0.19412053, 0.45128763, 0.80676043, 0.07671872, 1.2150356, -0.26180714, -0.0154195195, 0.15165928, 0.053485412, -0.4174963, 0.10295318]"
103,Qwen3-235B-A22B-Instruct-2507,"[0.08092887, 1.0249789, 0.20149077, -0.1973308, 0.4318258, 0.2800394, 0.151834, -0.0525572, 0.07403012, 0.026995083, 1.9494641, 0.6853414, 0.14713797, 1.8349438, -0.04158961, 0.32590455, -0.0014464379, 0.12202021, -0.2720186, -0.23719434]"
104,Qwen3-235B-A22B-Thinking,"[0.40510598, 0.31547347, 0.6675093, -0.089222185, 0.2003376, -0.92461205, -0.18522666, -0.14186247, 0.28943452, 0.12061996, 2.086107, 0.7973459, 0.34156796, 1.2628407, 0.62134176, 0.05951337, 0.37693152, -0.14968492, -0.23669304, 0.06984369]"
105,Qwen3-235B-A22B-Thinking-2507,"[0.16824965, 0.8283956, -0.3922485, 0.18117067, -0.14931743, -0.2951187, -0.2490035, 0.42351598, 0.80991596, 0.1640666, 2.7419612, 1.0848404, 0.0511405, 2.3688986, 0.26289806, 0.40003803, 0.19887842, 0.123279504, -0.0109380605, -0.44618353]"
106,Qwen3-30B-A3B,"[-0.0683773, -0.0646608, 0.3730564, -0.24143174, 0.08990109, -0.11725772, 0.38983542, 0.009017417, 0.057214476, 0.010787923, 0.036882147, 0.55326796, -0.010870684, 0.4505804, 0.1622812, 0.060376905, 0.014134306, 0.13830997, -0.34385118, 0.4262613]"
107,Qwen3-30B-A3B-Thinking,"[0.48497343, 0.3852747, 0.5485455, 0.23436469, 0.106966965, 0.22956273, 0.19505957, -0.24812354, -0.13584632, -0.057240445, 1.9303699, 0.13328089, -0.0108428, 0.8619029, 0.42184117, 0.063375145, 0.17793229, 0.099857785, -0.30305448, -0.57992834]"
108,Qwen3-32B,"[-0.5389258, -0.2026931, -0.05202392, 0.094028704, 0.0010575734, 0.6219418, 0.16240129, -0.1258579, 0.29431602, 0.26546192, -0.13147698, 0.8766359, 0.4666791, 1.3217288, 0.24313691, -0.14080532, 0.20917779, 0.014068787, -0.62301254, -0.4372046]"
109,Qwen3-32B-Thinking,"[0.05956788, 0.03285331, 0.060921714, 0.26038754, 0.08373404, -0.17239869, 0.0072994335, -0.022551779, 0.43156922, -0.043258794, 2.0337923, 0.43701047, 0.17234343, 1.0319889, -0.02562461, -0.0080646835, 0.11483707, -0.032937825, -0.17703696, -0.07307799]"
110,Qwen3-4B,"[0.190512, -0.27293247, 0.2889774, 0.2103529, 0.3981451, 0.2227984, 0.30467132, 0.045509424, -0.10709834, 0.07040568, -0.9549829, 0.3715878, 0.113186345, -0.45493588, -0.23025285, 0.18426779, 0.2306101, -0.001883172, -0.30929744, 0.08132297]"
111,Qwen3-4B-Thinking,"[0.33493885, 0.27387124, 0.322051, -0.22860879, 0.12756148, 0.5183933, -0.15407358, 0.079170346, 0.515824, 0.19390161, 1.4805249, 0.7143758, 0.20512913, -0.15382442, -0.01923091, 0.28592083, -0.0045657484, 0.2737633, -0.27441663, -0.2579903]"
112,Qwen3-8B,"[0.032432318, -0.09085251, 0.22698732, 0.08318915, 0.15856439, 0.030056778, 0.26217285, 0.058496144, 0.24813819, 0.089917056, -0.78173447, 0.08119701, -0.14425091, 0.0005377379, 0.5031568, 0.14061226, 0.3616191, -0.15467788, 0.016299615, -0.7353107]"
113,Qwen3-8B-Thinking,"[0.25613526, 0.30288708, 0.5190962, -0.19135146, -0.0204014, 0.258402, 0.21629551, -0.04907177, 0.24835227, 0.17813568, 1.6143034, 0.60000515, 0.12690462, 0.39261556, 0.09263761, 0.0028452694, 0.1284051, 0.1733166, -0.5819745, -0.25751376]"
114,Qwen3-Next-80B-A3B-Instruct,"[0.10378817, 1.3062191, -0.3576926, 0.21359272, 0.60814315, -0.24002662, 0.42659467, 0.037043374, 0.020129925, 0.90353113, 0.9541846, 0.5192246, 0.38531286, 1.6347876, 0.24692494, 0.6687153, -0.11188876, -0.19299507, 0.14857776, -0.286647]"
115,Qwen3-Next-80B-A3B-Thinking,"[0.44545427, 0.07778559, 0.30585325, 0.9043461, -0.026120372, -0.15869603, -0.05519671, 0.076582134, 0.008395672, -0.057727944, 2.8831027, 0.50659525, 0.38638783, 2.0039604, 0.4053702, -0.043196794, -0.36455727, 0.0037964801, 0.021081503, -0.40103754]"
116,Qwen3-VL-235B-A22B-Instruct,"[0.19566421, 0.68619597, 0.117162175, -0.4814495, -0.3052548, 0.25552738, -0.27966914, -0.036564957, -0.22427513, -0.2395511, 1.6226265, 0.41857365, 0.2175825, 2.0113213, 0.05115695, 0.10627353, 0.060656756, 0.2017907, 0.36680195, -0.13690953]"
117,Qwen3-VL-235B-A22B-Thinking,"[0.18545954, 0.09061298, 0.4201061, 0.14469619, 0.029462421, -0.74798125, 0.055265233, 0.34709865, 0.4194632, 0.2734485, 3.506966, 0.8268096, -0.89776254, 1.6762153, -0.21825849, 0.54034054, 0.33537787, 0.10509421, 0.36680692, -0.3639994]"
118,Qwen3-VL-30B-A3B-Instruct,"[0.080239505, 0.46992657, 0.16988043, 0.032544397, 0.008359603, -0.4968341, 0.11726208, 0.28245637, -0.55520797, 0.33634925, 1.2766365, 0.44416738, -0.0041437456, 0.93251765, 1.0491109, -0.2718462, 0.20860822, 0.1379357, -0.2549215, -0.56971765]"
119,Qwen3-VL-30B-A3B-Thinking,"[0.20314658, 0.023152942, 0.36617258, -0.27108473, 0.6306122, 0.2638685, -0.39670393, 0.11484726, 0.64473313, -0.2942305, 2.452305, 0.65665936, 0.4481665, 0.87777823, 0.52883744, -0.30936947, -0.5336839, 0.23519851, 0.07832023, -0.6914222]"
120,Qwen3-VL-32B-Instruct,"[0.09908119, 0.3076357, 0.40885282, -0.09511906, -0.04932937, 0.16723022, 0.25670597, 0.22796494, 0.41516945, 0.45502922, 1.0592476, 0.5059895, 0.24305174, 1.3915673, 0.35824972, -0.05921726, 0.34033042, -0.25706026, 0.22551347, -0.77419066]"
121,Qwen3-VL-32B-Thinking,"[-0.3390752, 0.9879374, -0.365429, 0.13894898, 0.26538286, -0.27196264, -0.09858406, -0.30757746, 0.26624924, 0.48684588, 1.8802099, 0.6873552, -0.13932407, 2.0233266, 0.19144219, -0.21800502, 0.31600258, -0.27654773, -0.500598, -0.10019576]"
122,Qwen3-VL-4B-Instruct,"[0.13793461, 0.066037945, 0.014766723, 0.39863846, -0.06860546, -0.32536075, 0.19731945, 0.11762247, 0.6373366, 0.010052339, -0.11775051, -0.079422496, 0.20049907, 1.7886195, 0.19176517, 0.14118223, -0.013620935, 0.22719538, -0.19772354, -1.2470458]"
123,Qwen3-VL-4B-Thinking,"[0.109370135, 0.047693152, 1.057635, 0.5734534, 0.3485739, 0.013318568, -0.32596612, 0.10805228, 0.25897184, -0.007149159, 1.6840508, 0.1626204, 0.23785898, 0.98252153, 0.50980496, -0.07479615, 0.16185185, 0.40229625, -0.66344637, -0.40123644]"
124,Qwen3-VL-8B-Instruct,"[0.5074016, 0.2319811, 0.98314697, 0.17912126, 0.16011818, 0.05410239, 0.42209357, -0.0028074514, 0.18494436, 0.11615507, 0.12953156, -0.1607734, -0.2432388, 1.0621498, 0.19443253, 0.78320724, 0.060411572, -0.02591342, -0.3202516, -0.6687354]"
125,Qwen3-VL-8B-Thinking,"[-0.6928365, 0.028159223, 0.15263155, 0.21979927, -0.025024528, 0.37390965, 0.023552516, -0.2385691, 0.5173528, -0.26015374, 1.679319, 0.365333, 0.12755232, 1.707716, -0.28509882, -0.3637131, 0.20681505, 0.29020962, -0.41517934, -0.61384475]"
126,Qwen3.5-0.8B,"[-0.14738311, 0.36489132, 1.0714699, 0.109651916, 0.068339616, -0.11239299, -0.087561674, 0.1989194, 1.0415331, -0.47709367, -2.6361358, -0.6818284, -0.14896853, -2.1644132, -0.17734177, -0.105862245, 1.0727723, 0.34374243, 0.16752727, -0.8732523]"
127,Qwen3.5-122B-A10B,"[0.31115228, 0.6542898, 0.26920933, 0.5119031, 0.58093315, -0.117391124, 0.71368474, 0.16140513, 0.38334155, 0.5552084, 1.0794421, 1.0135089, 0.115599684, 3.751316, 0.23966688, 0.080806084, 0.1867406, -0.04630404, 0.8627144, 0.6318716]"
128,Qwen3.5-27B,"[0.85870486, 0.11371425, 0.12415761, -0.22699782, -0.035680275, -0.22358397, 0.5430135, 0.44418174, 0.12676226, 0.2172512, 1.0592024, 0.89034617, -0.35047525, 4.1661434, -0.046911113, -0.22303733, 0.034830242, 0.08219585, 1.1618602, 0.09794476]"
129,Qwen3.5-2B,"[0.5990737, 0.68787366, 0.2244445, 0.66254294, 0.57240963, 0.55087423, -0.310529, -0.23512083, -0.2888678, -0.0014743722, -0.59925336, 0.09891332, 0.32530493, -0.6487142, -0.18052223, -0.49935696, -0.061162423, 0.121114455, 0.009399346, 0.49505755]"
130,Qwen3.5-35B-A3B,"[-0.34136766, 0.5805352, 0.671595, 0.21057795, -0.062213026, 0.2606075, 0.5765072, 0.22376621, 0.27357793, -0.33294597, 1.1160426, 0.8151151, 0.24353118, 4.022754, 0.15373334, -0.8025206, 0.024569668, 0.30446205, 0.7930298, 0.421104]"
131,Qwen3.5-397B-A17B,"[0.7941131, 0.6338665, -0.0374165, -0.2241957, -0.02396866, -0.6975894, 0.5172404, 0.12215721, 0.16897202, 0.9416005, 1.9531883, 1.0729241, -0.58609533, 2.4295576, 0.14041302, 0.38005292, -0.44006518, -0.4914385, 1.4023061, 0.52188885]"
132,Qwen3.5-4B,"[-0.64393306, -0.10649181, 0.13886261, -0.21092781, 0.13751625, 0.06434405, 0.39270118, -0.13345814, 0.20115198, 0.2035433, 0.90697896, 0.2505484, -0.15497869, 1.4195089, 0.42433062, -0.036117405, -0.17119631, 0.51405597, -0.18619011, 0.19971058]"
133,Qwen3.5-9B,"[-0.5175725, 0.5586673, -0.2105524, -1.4842956, -0.31099343, -0.14203916, 0.20293163, 0.16891101, 1.2535043, 0.76863587, 2.028755, 0.2549829, 0.068852924, 1.8418223, 0.334066, 0.4898067, 0.088655, 0.49773148, 0.40879893, 0.08485948]"
134,Qwen3.6-Plus,"[0.6324224, 0.85560113, 0.35223854, -0.03076849, -0.32681248, -0.68499553, 0.7461144, 0.6221002, 1.3957756, 0.3395896, 2.6574028, 1.3383145, -0.28489566, 2.1233072, 0.13568783, 0.33740565, 0.3033629, -0.18673708, 1.2734601, 0.63146734]"
135,Yi-1.5-34B,"[0.8902033, -1.1094146, 0.5058586, 0.5769256, -0.058630474, 0.29635373, 0.2706654, 0.6939258, 0.3271297, 0.24477002, 0.20120022, 0.18389368, 0.18560265, -0.19055408, 0.37643465, 0.61558616, -0.07380433, 0.62279844, -0.057615727, 0.940024]"
136,Yi-1.5-34B-Chat,"[0.5802768, 0.100496575, -1.0794586, -0.70957303, 0.07313864, 0.19512771, 1.4058836, -0.08384058, 0.9340739, -0.4129617, -2.2200034, 0.42172304, 0.3018446, -1.1443322, 0.28624257, 0.22538514, 1.1435044, -0.13606322, -1.0375376, -0.21651684]"
137,Yi-6B,"[0.22324729, -2.3831682, 0.54494417, 0.44101706, -0.048457336, 0.15299927, 0.8998564, -0.012974814, -0.28490672, 0.17065467, 0.10041495, -1.2279575, -0.5628867, -0.947166, -0.22916864, 0.09763496, 0.123099975, 0.13052174, -0.34996146, 0.57341063]"
138,amazon.nova-lite-v1:0,"[0.70159245, 0.8126487, -0.36424285, 0.6732192, 0.7859703, -0.23151334, 0.55097073, -0.35737255, 0.2545825, -0.6767738, -2.7399476, 1.0630298, 0.53615105, 0.20455691, -0.033501875, 0.3999757, 0.03130487, -0.3382817, -1.9199008, 0.5368552]"
139,amazon.nova-micro-v1:0,"[-0.0619169, 0.51749885, 0.33417642, 0.9378827, -0.95635873, 0.02082618, 1.1070285, -0.26372322, 0.832197, -0.078189984, -1.8187964, 1.2363942, 1.3085661, -0.23762028, -0.15505889, 0.40507984, -0.49379808, 0.13491374, -1.3705729, -0.98692137]"
140,amazon.nova-pro-v1:0,"[0.12687151, 1.426541, 0.3987623, 0.09411606, 0.26667917, 0.23030548, 0.59349245, -0.17475513, -0.054377113, -0.24934909, -0.77074933, 1.64677, 1.1544727, -0.94604135, 0.508137, 1.2062842, -0.23019087, 0.18494852, -0.5714483, 0.027179582]"
141,c4ai-command-r-plus-08-2024,"[-1.1982077, -0.1842166, 1.0319421, -1.368683, 0.6862471, 0.55733705, 1.0687665, -0.21887359, 0.8810596, 0.91129184, -0.88807625, 0.117864, -0.30148163, -1.0185817, -0.044786308, -0.07518023, 0.81721735, -0.0825362, 1.3596005, -0.69671106]"
142,chatglm2-6b,"[0.45540786, -2.018821, -0.98382616, -0.77584684, -0.30371177, -0.31670213, 0.05767141, -0.24767801, -0.89370733, -0.14059623, -1.2194281, -1.2194723, 0.08360623, -2.322667, 0.30248988, 0.34281045, -1.4053777, 0.45671278, -0.6888338, 0.043375876]"
143,claude-3-5-haiku-20241022,"[-0.24678174, 0.4771199, -0.036464643, 0.14743264, 0.30634582, -0.37985873, 0.052625798, 0.6739241, 0.99077517, -0.12816781, -1.4014585, -0.6986105, -0.18861246, 1.1434528, 0.35242435, 0.04963239, 0.41670752, 0.2517709, -0.25027904, -0.15914415]"
144,claude-3-5-sonnet-20240620,"[0.07462363, 0.99992275, 0.16142045, 0.07892889, 0.23908296, 0.19466162, 0.79753244, -0.3261614, -0.51825666, 0.25001106, -0.9379686, 1.581251, 1.186276, 0.6691119, 0.021565072, -0.23782706, 0.27763167, 0.8405596, -0.9483367, 0.01786885]"
145,claude-3-5-sonnet-20241022,"[-0.3455836, 1.1060365, 0.49881557, -0.12092346, 0.46457878, 0.31114632, 0.1300204, 0.39706472, 0.70319766, -0.004803856, -0.58349514, 0.8866711, 0.37968048, 1.9976606, 0.92189664, 0.20331807, 0.13041122, -0.081194684, 0.778069, 1.130162]"
146,claude-3-7-sonnet-20250219,"[0.28659117, 0.09171332, 0.18722971, 0.046365853, 0.17909388, 0.6314942, -0.33971867, 0.5470893, -1.2045091, 0.3487579, 0.55334157, 0.72380143, 0.54888684, 2.3662968, 0.21764883, 0.3601411, -0.10031057, 0.36562225, -0.4629878, 1.0415211]"
147,claude-3-haiku-20240307,"[0.38422468, -0.16887571, 0.047594916, 0.12265072, 0.14585711, -0.74227357, 0.5911274, 0.5376726, 0.084977016, 0.18239923, -2.7882504, 0.53898513, 0.85363513, -0.49833128, 0.36449686, 0.12031965, 0.22581844, 0.10806656, -0.44586155, 0.07768014]"
148,claude-3-opus-20240229,"[0.0065132948, 0.57813233, -0.10361796, 0.37099227, -0.18451369, 0.3383788, 0.86992466, -0.14904125, 1.0863725, -0.05143242, -1.9252744, 1.445391, 1.0223812, 0.6769157, 0.20348328, -0.31030053, -0.7030416, 1.2041489, -0.42888245, 0.07322044]"
149,claude-3-sonnet-20240229,"[1.127901, 0.013548956, -0.07691838, 0.07743095, -0.9483915, 0.3072122, 0.488395, 0.2752266, 0.34769347, 0.119248785, -2.8536448, 0.6734549, 0.243887, 0.52885485, -0.4111653, 0.19052234, 0.36317167, 0.29463995, -0.7198654, 0.07659915]"
150,claude-haiku-4-5-20251001,"[0.022660404, 0.14153638, 0.45225218, 1.2240177, -0.25616363, 0.16592196, 0.92313, 0.40086517, 0.48614013, -0.5409627, 0.9497228, 0.35515723, -0.24381949, 3.0903256, -0.3860962, 0.97056913, 0.25864607, 0.7203848, -1.2060273, 0.6406545]"
151,claude-opus-4-1-20250805,"[1.4272549, -0.6579633, 0.6304762, 1.2883283, -0.2359033, -0.21756877, 0.7905126, 0.09997817, 0.8815646, -0.06512004, 0.9823654, 1.2129427, 0.83084023, 4.029583, 0.29296163, -0.12951751, 0.033266436, 0.98380005, 0.10382521, 0.22378224]"
152,claude-opus-4-20250514,"[-0.14173481, -0.27197504, 0.061386336, -0.06923128, -0.23048995, 0.029652366, 0.71394485, -0.3744566, 0.05882986, -0.07245936, 0.871275, 0.81923306, 0.55283403, 3.4039009, -0.890252, -0.14072369, 0.22055572, 0.49929434, -0.2943972, 0.030125685]"
153,claude-opus-4-5-20251101_64K_high,"[0.62406653, 0.14005394, 0.44414398, 0.10503787, -0.18282923, 1.4141476, 0.09887772, 0.61911106, 0.20611368, -0.069180176, 3.5304868, 1.0877203, -0.36014882, 2.5266855, 0.36427355, -0.19431528, 0.117708504, 0.31400982, 2.1057537, -0.30169103]"
154,claude-opus-4-6_adaptive_max,"[0.2741001, 0.4815533, 0.39649433, 1.0819579, -0.071542874, 0.12827422, 0.58627963, -0.3817041, 0.59264106, 0.26349604, 4.1663723, 0.98956627, 0.17293426, 2.7958615, 0.1871667, -0.39441755, 0.4815086, -0.09625485, 3.3346894, 0.58874655]"
155,claude-opus-4-6_max,"[-0.0037437128, 0.6587107, 0.249747, 0.7805384, -0.003570634, 0.6210973, 1.1692816, -0.39639148, 1.0719687, 1.057067, 2.0661829, 1.5360557, -0.10941338, 2.6813586, -0.02416596, 0.19883615, -0.10283348, 0.24641171, 1.8277036, 0.8095513]"
156,claude-opus-4-7_adaptive_max,"[0.62416655, 0.54969007, 0.48064318, -0.017799579, 0.05247058, 0.27427948, 0.4898817, -0.07321836, 0.45023984, 1.1491392, 3.1467154, 1.2727354, 0.2717618, 2.7567677, 0.31713992, 0.64949375, -0.1112353, -0.13992146, 3.2031941, 1.1697426]"
157,claude-sonnet-4-20250514,"[0.28294706, 0.6832351, 0.60839564, -0.7319068, 0.18340069, 0.7317955, -0.48212296, 0.0901642, 0.012462033, -0.18318221, 0.5806763, -0.23619454, 0.16422443, 3.2837338, -0.107592635, -0.5678509, -0.5397501, 0.3447958, -1.0258735, 0.1357437]"
158,claude-sonnet-4-5-20250929,"[-0.057738498, -0.1916468, 0.916275, 1.1204334, -0.11528241, -0.45322743, 0.51279044, -0.29412654, 0.72965777, -0.9243587, 0.75871503, 0.97974217, -0.50219834, 2.8142276, -0.048752476, -0.34191567, -0.5075799, 0.42318118, 0.503749, 0.4871204]"
159,claude-sonnet-4-5-20250929_32K,"[0.036079198, -1.1863219, -0.15698741, 0.4100163, -0.35959962, 0.5115979, 0.4759605, 0.09148769, 0.813624, 0.7919041, 2.5661604, 1.1430899, 1.0592859, 1.1646188, -1.1077238, -0.70554954, -0.084750794, 0.37234166, 0.744512, 0.3159227]"
160,claude-sonnet-4-6_adaptive_max,"[0.19196084, 0.62553924, 0.33257607, 1.2533962, -0.031600364, 0.016594343, 0.24001159, -0.010710344, 1.1475658, -0.20970543, 1.9739566, 1.4302723, 0.0013399133, 3.012735, -0.4048954, 0.34497702, 0.15446737, 0.95092815, 2.6600542, 0.16848917]"
161,falcon-180B,"[0.23030221, -0.83780825, 0.3274849, 0.12846167, -1.7842425, 0.8376019, 0.4016313, 0.13765845, -0.12208795, 0.058153484, -0.16382465, -0.4129252, 0.3979203, 0.1142915, -0.5165227, 0.031054685, 0.23328252, 0.49324703, 0.8966642, -1.0134774]"
162,falcon-40b,"[0.65450096, -1.8585682, -0.5862622, 0.22320287, 0.9049424, 0.34389997, 1.3893131, -0.6435529, 0.52570575, -0.27058986, -0.31665212, -1.4920633, -0.401671, -0.5651122, -0.02391931, -0.103037186, -0.15980826, 0.020226063, 0.4924042, 0.061102115]"
163,falcon-7b,"[0.49464345, -0.6281554, -0.46321198, 0.102179006, 0.12829839, 1.1914494, 0.3126173, 0.069085106, 0.077919826, -0.32802555, -1.8385918, -2.8419895, 0.5491786, -0.054467615, -0.13187921, 0.2977446, 0.23119576, 0.29985708, 0.023475867, 0.17450619]"
164,gemini-1.0-pro-001,"[0.46558344, -0.3892058, 0.18364768, -0.41349763, 0.3843578, 0.5566708, -0.1378624, 0.0746731, 0.31870383, 0.13361746, -3.2362795, 0.8419858, 1.0033265, -1.1770612, 0.5834043, -0.117121145, 0.101018526, 0.7053082, -0.6900946, 0.15714559]"
165,gemini-1.5-flash-001,"[0.23262177, 0.3265544, 0.41782236, 0.24759305, 0.15439728, -0.6714199, -0.29571068, 0.12842472, -0.28954685, 0.4693841, -2.3309505, 1.0155743, 0.10082475, 0.7716968, -0.25987864, 0.8898147, 0.04149885, -0.22285426, -0.4417192, -0.58196145]"
166,gemini-1.5-flash-002,"[-0.16943374, 0.76295996, -0.13974422, -1.0831174, -0.38337633, -0.49205697, 0.7301915, -0.30360743, -0.71575195, -0.42467424, -0.92355, 1.0870266, 0.22033729, -0.7065911, 0.23004827, -0.06781117, 0.035145134, 0.59895396, -1.0533537, -0.18336442]"
167,gemini-1.5-flash-8b-001,"[-0.1900454, -0.025360279, 0.089610174, 0.5913937, -0.55343115, -0.21025583, 0.08593044, 0.016080458, 0.36829355, -0.04703722, -1.7828609, 0.9254226, 0.68837124, -0.6539151, 1.5619373, 0.15442324, -0.23609614, -0.48862082, 3.698739, 0.22010633]"
168,gemini-1.5-pro-001,"[0.75565666, 1.1795834, -0.21926641, -0.07594012, 0.015688978, 0.89722663, -0.04876953, -0.17484236, 0.86590576, 1.2061132, -1.6875626, 0.819188, 0.30754843, 0.892685, 0.12257643, 0.7260193, 0.5520881, -0.15423979, -0.9761383, 0.79091126]"
169,gemini-1.5-pro-002,"[0.69445527, 1.1938221, 0.10809163, -0.2778123, -0.20049554, -0.6588849, -0.04990255, -0.08588229, 0.8811968, 0.325664, -0.47769538, 0.7104005, 0.14230023, 0.42257598, -0.15494956, 0.85515106, 0.18398939, 0.12371687, -0.9342403, 0.3151937]"
170,gemini-2.0-flash-001,"[0.5864682, 0.86944526, -0.2847608, -0.6081733, 0.3458251, -0.028249752, 0.5615766, 0.004511513, 0.40532285, -0.49835128, -0.3935122, 1.3511481, 1.2633961, 0.6334811, 0.62019014, 0.68699425, -0.008486025, -0.5492161, -1.0185802, 0.44442526]"
171,gemini-2.0-flash-lite-001,"[0.18620187, 0.86147183, 0.0025484904, -0.13787, -0.12184947, -0.6239364, 0.49683732, -0.2820239, -0.2729544, -0.6286255, -1.0667549, 0.06936239, -0.09294272, 0.27129027, 0.26051915, 0.014344998, -0.41306412, -0.25880396, -0.92395055, 1.0229596]"
172,gemini-2.0-pro-exp-02-05,"[0.23943564, 1.8885189, -0.45031235, 0.62224174, -0.67781717, -0.0054760003, -0.5332957, -0.01744374, 0.7998782, 0.2837496, 0.10566632, 0.123850144, 0.29393435, 1.4082044, 0.5646886, 0.28729978, 0.010727032, 0.12792766, -1.641856, 0.31735244]"
173,gemini-2.5-flash,"[-0.55001247, 0.74560696, -0.38052455, -0.69254076, 0.66800606, -0.20605236, -0.11055694, -0.010838051, -0.10566016, 0.26546663, 2.101773, 1.3472818, 0.3752608, 0.9528044, 0.57408226, 0.46709374, -0.13005751, -0.016808804, -0.4310973, 0.75480324]"
174,gemini-2.5-flash-preview-05-20,"[-0.12827441, -0.12915754, -0.01373262, 0.64249635, 0.57441115, 0.122887425, 0.3384972, 0.36311072, -0.21522613, 0.86462224, 2.0969846, 1.1029407, 0.35217202, 0.9966277, 0.43591085, 0.70866376, 0.19584826, 0.30899966, -1.0359325, 0.32372123]"
