model_id,model,estimated_capability
31,Llama-2-7b,"[0.56554985, -0.039037324, -0.8311906, -0.016521314, -1.2529763, -1.8040333, 0.28734624, -1.6965216, -0.6003392, -1.3990409, -0.42800775, -0.1602203, -2.1334066, 0.07581639, 0.34882006, -1.4283469, -3.076993, -0.8026864, -1.3935382, 0.5104262]"
32,Llama-3.1-405B,"[0.9767611, 0.19875237, -0.9310899, 0.5191469, 2.7221086, 1.0220771, 0.85607475, -0.27194482, -1.3867068, -0.17096248, 0.25979415, 0.13934384, 0.25182858, -0.3907774, -0.005828519, -0.1344665, -0.18860054, 1.8244557, 1.8294408, 0.7420189]"
33,Llama-3.1-405B-Instruct,"[0.05232639, -0.0953949, -1.2385945, -1.0430024, 0.2534405, 0.488674, -0.035700228, 0.164157, 0.7014464, -0.8977784, 0.35499212, -0.31296206, -0.010464977, 0.62586534, 0.46834442, 0.48075932, 1.2866045, 1.0844419, 0.5767346, 0.62262756]"
34,Llama-3.1-70B,"[0.0017761145, -0.73323524, -0.49457705, 0.30021158, -0.71312237, 1.2311819, -0.49364677, 0.9353149, -1.3444917, 0.81970876, 0.95128006, -0.42743105, 0.0553922, -0.65509, 0.8893859, -0.26859564, -0.5638055, 2.2020814, 0.40424147, -1.4486893]"
35,Llama-3.1-70B-Instruct,"[-1.6122123, -0.9881137, -1.8328111, 0.43319184, 0.21252948, 0.54952645, 0.2758699, -0.2015197, 1.6476676, 0.2417938, -0.62519413, -0.16883421, 0.35330418, 0.096343204, 0.6760408, -0.8717804, 1.0536003, 1.4171983, 0.002022987, 0.31432322]"
36,Llama-3.1-8B,"[0.44979697, -0.5304363, -0.57113683, 0.25420994, 0.7398093, 0.65064377, -0.0053299433, -0.15115677, 0.4423783, 3.189661, -0.3709853, 0.053906154, 0.33407485, 0.6156838, -0.29431948, -0.37657368, -1.3542701, 1.084085, -1.3292348, 0.82108533]"
37,Llama-3.1-8B-Instruct,"[0.26784918, -0.64156103, -2.8735688, -0.20510013, -0.015806558, 0.45680976, 0.3116335, -0.42288545, 0.28991982, 0.7111768, -0.021285132, -0.20669435, -0.02043966, 0.57328916, 0.45730135, 0.19290018, 0.039101243, 0.4257989, -1.03809, 0.4274448]"
38,Llama-3.2-11B-Vision-Instruct,"[0.47961316, 0.35494477, -2.9890978, 0.4723989, -1.1454811, 0.47974733, -0.1606182, -0.76321274, 0.5575312, 0.6723661, 0.115717076, 0.7414883, -0.63387024, -0.09920052, 0.66246825, -0.26286104, -0.016347818, 0.89794105, 0.30484772, -0.61777514]"
39,Llama-3.2-90B-Vision-Instruct,"[-0.2985363, -0.2591034, -1.4179683, 0.3329203, -0.3849318, -0.2267628, 0.6417198, -0.21460427, 0.11608176, -0.24496639, -0.2548465, 0.28393704, 1.1675179, -0.36404264, -0.46302158, 0.40280774, 0.7199779, -0.066156074, 0.5571762, 0.4541984]"
40,Llama-3.3-70B-Instruct,"[0.13726473, 0.5986184, -1.4107814, 0.043303862, 0.23454611, 0.48532417, 0.99032754, 0.10083242, 0.75191206, 0.0053174603, -0.04457985, 0.37551472, -0.7763054, 0.85879725, 0.19252273, -0.6062489, 1.4852046, 1.2646577, 0.21706907, -0.013960199]"
41,Llama-4-Maverick-17B-128E,"[0.48337543, -0.12500238, 0.19198105, 0.9488796, 0.24508868, -0.2781108, 1.1232282, 0.6862812, 0.35619584, 0.021028532, -0.40574926, 0.2341657, -0.081047796, 0.31418583, -0.56208277, -0.08368018, 0.0314243, -0.18347923, 2.666076, -0.23436794]"
42,Llama-4-Maverick-17B-128E-Instruct,"[-0.47033283, 0.21095377, -0.70847845, 0.44738573, -0.042461444, -0.30915475, 0.20187911, 0.37779233, 0.45716098, 0.21085662, 0.11822761, -0.43161413, -0.7277921, 0.34664848, -0.3483639, -0.34141898, 1.3792136, 0.24236459, 1.093598, -0.22970219]"
43,Llama-4-Scout-17B-16E,"[-0.27469265, 0.43210334, -1.6348807, 1.0520955, 0.9871004, -0.05469192, -0.25926703, 0.48498976, 0.020938408, -0.5079775, 0.5557283, -0.12712817, 0.41248268, -0.20720278, 0.8997096, -0.3072621, -0.14394623, -1.0031027, 0.6735551, -0.06614161]"
44,Llama-4-Scout-17B-16E-Instruct,"[-0.847324, -0.015847674, -0.99102324, 0.3489429, 0.1673988, -0.61375093, 0.3949045, -0.17026421, 0.45824772, 0.16787806, -0.05015349, -0.34112248, -0.24569838, -0.103462346, -0.6097693, 0.076479256, 0.965498, 0.3698221, 0.5682143, 0.06822263]"
45,LongCat-Flash-Chat,"[0.16207269, -0.29926223, 1.2790829, 0.61105156, -0.50857127, -0.19553357, -0.06986954, 1.1721402, 0.38547572, -0.14679374, 0.25464877, 0.59198016, 0.6274781, 0.16638435, 0.2199595, 0.7566064, 0.792827, 0.028565185, 0.9279614, -0.42138323]"
46,LongCat-Flash-Lite,"[-0.5580288, 0.30271772, 1.0784925, -0.07290852, -0.17362195, 0.5633187, 0.41427058, 1.0291469, 0.15805745, 0.14213346, -0.092808165, -0.40039417, -0.39261806, 0.15903, -0.0613121, -0.1279643, 0.5116642, 0.030514048, 0.4295798, -0.053838354]"
47,LongCat-Flash-Thinking,"[-0.5244482, -0.5145199, 2.6735334, -0.29487506, 0.12847117, 0.064636484, 0.56187123, 0.69193053, 0.569975, 0.51333684, 0.50780874, 0.017163109, -0.52108765, 0.014223663, 0.35815814, -0.07325582, 0.8112048, 0.17196713, 0.8385329, -0.28300217]"
48,Meta-Llama-3-70B,"[-0.02443598, -0.7433493, 5.227868, 0.34707886, -0.18717775, 0.3648156, -0.39141807, -0.1888913, 1.8343732, -0.3642863, -0.3397956, 0.6658231, 0.056399234, -0.22141844, -0.9727826, -0.45551836, -0.71231467, 0.07514828, 0.19257523, 0.22326049]"
49,Meta-Llama-3-70B-Instruct,"[0.071017176, -0.2828671, -1.466564, 0.10615404, 0.31424388, 1.0186793, 0.07349033, 0.48346254, -0.12386962, 0.058705818, 0.2687462, -0.3225336, -2.4662077, 0.6196956, 0.7202559, -0.27004066, 0.5659718, 2.2409987, -1.0130969, -0.09214449]"
50,Meta-Llama-3-8B,"[-0.78260785, -1.4213628, 1.1113877, 1.0121346, -0.26144585, -0.6664966, 0.72992235, -0.0047666593, 0.57008064, -0.58284765, -0.8289254, 0.26365095, -0.17791793, 0.9893219, -0.19128256, -0.7101993, -1.5224836, 0.15597036, -1.2052914, 0.6834245]"
51,Meta-Llama-3-8B-Instruct,"[0.08348176, -0.3095642, -3.3274887, 0.6950906, -0.71693593, -0.642927, 0.42758936, 1.4582343, 0.20288092, -0.061023593, -0.23709936, -0.2891084, 1.20117, 0.31865588, 0.5553387, -1.827303, -0.092766896, 1.5098153, -1.5704876, -0.79774]"
52,MiniMax-M1-40K,"[-0.88687897, 0.47632092, 1.4240191, -0.25445536, -0.3196456, 0.8600211, 0.41469887, -0.029040635, 0.6669305, 0.25477666, -0.16683565, -0.15012844, -0.6590099, -0.12659548, -0.08085267, 0.56986755, 0.8595962, 0.31758153, 0.36029273, -0.17681594]"
53,MiniMax-M1-80k,"[-1.0558661, 0.44679207, 1.7523394, -0.08927474, 0.45671883, -0.3855315, 0.15635514, -0.007832422, 0.49980426, 0.27931008, 0.16749363, -0.07573974, 0.027461588, -0.10711103, 0.09639816, 0.35073918, 0.86357766, 0.29776382, 0.45808414, 0.07848041]"
54,MiniMax-M2.1,"[1.1311182, 1.5442533, 1.6623144, -0.41514122, -0.06086854, -0.4019496, 0.32449067, 0.75144494, 0.30666363, 0.10005548, -0.09592681, 0.8372517, -0.4081595, 0.12582596, 0.18582612, 1.5285158, 1.2857873, 0.44758636, 2.0905237, 0.23825648]"
55,Ministral-8B-Instruct-2410,"[-1.8355621, 0.17523496, -2.8814101, 0.6979298, 0.5237028, -0.29879737, 1.3505664, -0.51666087, 0.93293256, 0.66731244, -0.97733134, -0.19699463, -0.322127, -0.69844025, -0.8222211, -1.0114338, -0.79547536, -0.36233437, 0.5169824, 0.015156944]"
56,Mistral-7B-Instruct-v0.1,"[0.31016365, -0.53966093, 2.543699, -0.17059381, -0.31224996, 0.9084056, 0.53174037, 0.5858546, 0.08021744, -0.68165874, 1.0801568, -0.2500274, 0.82240343, 0.26601917, -0.23790714, -0.5597612, -1.6654267, 1.0809329, -1.7481164, -0.26547483]"
57,Mistral-7B-v0.1,"[-0.766252, -0.12373722, 2.2214704, 0.6395498, -0.11766394, 0.52744204, -0.027873665, -0.41372916, 2.1733296, -0.44946724, 0.5257396, -0.11977243, -0.5388697, 0.85757124, 1.2730715, -0.9893205, -1.7744627, 0.881498, -1.413923, -0.298141]"
58,Mistral-7B-v0.2,"[-0.10578302, -0.12229066, 1.2640014, 0.562353, -1.1051446, 0.65317386, 0.6270822, -0.11702685, 0.83603257, -0.5244304, -0.24508564, 0.27715686, -0.1495657, -0.46025187, -0.18145023, -1.7827657, -1.6698717, -0.75540197, -1.3257055, -0.60163194]"
