tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Coding,2024-02-29,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-02-29,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-03-07,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-03-07,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-03-07,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-03-07,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-03-07,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-03-07,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-03,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-03,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-03,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-03,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-03,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-04-03,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-09,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-09,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-09,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-09,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-09,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-04-09,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-17,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-17,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-17,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-17,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-17,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-04-17,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-18,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-18,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-18,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-18,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-18,0.0023833623213015097,gpt-4-0125-preview,GPT,2024-01-25,False
Science,2024-04-18,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-23,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-23,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-23,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-23,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-23,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,True
Science,2024-04-23,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-04-25,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-04-25,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-04-25,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-04-25,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-04-25,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-04-25,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-05-05,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-05-05,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-05-05,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-05-05,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-05-05,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-05-05,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-05-13,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-05-13,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-05-13,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-05-13,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-05-13,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-05-13,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-05-23,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2024-05-23,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2024-05-23,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2024-05-23,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2024-05-23,0.0025659849279467423,Phi-3-small-8k-instruct,Others,2024-04-23,False
Science,2024-05-23,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2024-05-24,0.0044852433956499285,gemini-1.5-pro-001,Gemini,2024-05-24,True
