event_id,event_label,family,event_date,tag,pre_days,pre_model_count,event_model_count,pre_mean,event_mean,jump,pct_jump,z_score,pre_std,event_models
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Science,180,2,1,0.003351030284461093,0.0029551016631107424,-0.00039592862135035076,-0.11815131101210663,-1.5225943767486199,0.00026003552055395415,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Safety,180,2,1,0.001432571350086798,0.0012303091015850064,-0.00020226224850179155,-0.14118825459516324,-1.8609519659359317,0.00010868751703651172,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Coding,180,2,1,0.002011292262779688,0.0017121158043377697,-0.00029917645844191806,-0.14874837634409432,-0.9396795305139826,0.00031838137229431356,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Multilingual_v1.1,180,2,1,0.001497230975158437,0.0013550449750462468,-0.0001421860001121903,-0.09496597550497789,-8.232759352627932,1.7270758687584368e-05,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Game-Environment,180,2,1,0.000589431521191809,0.0004878745849678248,-0.00010155693622398418,-0.1722964120049769,-3.444149802318097,2.9486794144560996e-05,DeepSeek-R1
deepseek_r1,DeepSeek R1,DeepSeek,2025-01-20,Visual,180,2,1,0.0010801860522509153,0.0008590967530019969,-0.00022108929924891845,-0.2046770542798694,-2.4024874060503265,9.202516470726803e-05,DeepSeek-R1
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Format-Familiarity,180,4,2,0.00375207063714862,0.005344417430359587,0.001592346793210967,0.4243914753217622,3.3070586965429793,0.0004814994045541195,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Search-Load,180,4,2,0.005822203364927404,0.011001665726317379,0.0051794623613899745,0.88960519527551,1.9421929388620658,0.0026668114468713033,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Logical-Control,180,4,2,0.005832649880462962,0.010974903558260527,0.005142253677797566,0.8816324969242632,1.9453626597415243,0.0026433393547714156,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Verbal-Language,180,4,2,0.005832649880462962,0.010974903558260527,0.005142253677797566,0.8816324969242632,1.9453626597415243,0.0026433393547714156,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Quantitative-Formal,180,4,2,0.005893282679207067,0.01118742210180155,0.0052941394225944835,0.8983345464274933,1.9439167035254594,0.0027234394421289288,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Math,180,4,2,0.0034123559229144334,0.00506122325064492,0.0016488673277304865,0.4832049660054857,3.461180483798716,0.00047638871634940607,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Abstraction-Learning,180,4,2,0.005634442621979069,0.010801309396231532,0.005166866774252463,0.9170147112861411,1.906574957231066,0.0027100255117985736,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Social-Mind,180,4,2,0.0020007591310543388,0.0037035429870173955,0.0017027838559630568,0.8510688915690425,3.516057729516631,0.00048428779814065976,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Commonsense,180,4,2,0.0023933313902114095,0.0037139043026717267,0.0013205729124603173,0.5517718598692125,2.7619177095579577,0.0004781362268290295,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Instruction-Constrained,180,4,2,0.0037811140454310577,0.005757400169769133,0.0019762861243380753,0.5226729743119327,3.465681403743689,0.0005702446053475246,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Social-Humanities,180,4,2,0.00221121838520333,0.003874550553692766,0.001663332168489436,0.7522242848647833,3.4197931130439767,0.00048638385817699215,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Science,180,4,2,0.0036871317847671377,0.0057583552298451895,0.0020712234450780517,0.5617438068351713,4.516261323206129,0.0004586146143570971,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Safety,180,4,2,0.0017259010711595801,0.0037325998901640046,0.0020066988190044245,1.162696317035243,3.657172749698396,0.0005487022233691081,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Coding,180,4,2,0.0019138627896859695,0.003972984978222535,0.0020591221885365653,1.0758985438420223,3.7173552479846985,0.0005539212830554421,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Multilingual_v1.1,180,4,2,0.002160992773196863,0.003767851957498438,0.0016068591843015753,0.7435745293698828,3.0457168912330808,0.0005275799562746052,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Game-Environment,180,4,2,0.0009825069877450318,0.003242133940014331,0.0022596269522692993,2.299858403506531,3.871584810332869,0.0005836439243791284,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
claude_opus_4_6,Claude Opus 4.6,Claude,2026-02-05,Visual,180,4,2,0.0009765702987565778,0.001066801264351944,9.02309655953662e-05,0.09239577090379787,0.4897169334957034,0.0001842512672602077,"claude-opus-4-6_adaptive_max, claude-opus-4-6_max"
